seed,stroke,chosen_score,height_map_error,emd_or_earth_mover,completion,removed_volume_m3,reservoir_volume_m3,transported_volume_m3,action
0,0,9.665914535522461,9.583942413330078,9.583942413330078,0.9861111111111112,2.2262476704781875e-05,0.0001202754502948798,2.2262476704781875e-05,"{""dig_x"": 0.09458458006605519, ""dig_y"": 0.010081446565694973, ""pile_x"": 0.007389217471117086, ""pile_y"": -0.029535737356676396, ""theta"": -2.937178373402774, ""dig_cross_sigma"": 0.03772441448587294, ""dig_length_sigma"": 0.06074274366759261, ""pile_sigma_x"": 0.05705491338797006, ""pile_sigma_y"": 0.03987409181117575, ""dig_gain"": 0.7429153406476122, ""deposit_gain"": 0.8628209546379404, ""reservoir_gain"": 0.9231771561218154}"
0,1,7.103004455566406,6.986001968383789,6.986001968383789,0.9861111111111112,7.2753464337438345e-06,7.897518720518872e-05,7.275346888491185e-06,"{""dig_x"": 0.06593434154692565, ""dig_y"": -0.012067839874534874, ""pile_x"": -0.00995557188498034, ""pile_y"": 0.04749578827143529, ""theta"": -2.6658373307572423, ""dig_cross_sigma"": 0.024927349578532813, ""dig_length_sigma"": 0.06615977973041282, ""pile_sigma_x"": 0.056454010225371526, ""pile_sigma_y"": 0.05078675925168975, ""dig_gain"": 0.7694887021110314, ""deposit_gain"": 0.7704084688455524, ""reservoir_gain"": 0.9815018561843469}"
0,2,5.785651206970215,5.656044006347656,5.656044006347656,0.9930555555555556,4.057795194967184e-06,3.9762875641419375e-05,4.057795194967184e-06,"{""dig_x"": 0.09348825335706414, ""dig_y"": -0.006536499150320573, ""pile_x"": 0.002704760525767392, ""pile_y"": -0.05176821439775415, ""theta"": -2.718606579458781, ""dig_cross_sigma"": 0.03296000101185121, ""dig_length_sigma"": 0.06077264415978629, ""pile_sigma_x"": 0.05443369113587616, ""pile_sigma_y"": 0.048349765591187255, ""dig_gain"": 0.7484320393410655, ""deposit_gain"": 0.8651327343044047, ""reservoir_gain"": 0.8257637400099695}"
0,3,4.833914756774902,4.695596694946289,4.695596694946289,1.0,2.3418074306391645e-06,2.989248709174963e-05,2.3418074306391645e-06,"{""dig_x"": 0.08323524086930319, ""dig_y"": 0.013677721560082477, ""pile_x"": -0.010835467747888235, ""pile_y"": -0.026298237528676886, ""theta"": -3.032594062038896, ""dig_cross_sigma"": 0.031720940562729436, ""dig_length_sigma"": 0.07609488255920407, ""pile_sigma_x"": 0.05176352537248283, ""pile_sigma_y"": 0.0576920733122574, ""dig_gain"": 0.9141434291660364, ""deposit_gain"": 0.8571795166571942, ""reservoir_gain"": 0.8143977129592123}"
0,4,4.153717041015625,4.004934310913086,4.004934310913086,1.0,6.143520749901654e-07,2.3635144890379266e-05,6.143521318335843e-07,"{""dig_x"": 0.09904335553914431, ""dig_y"": -0.008716087971691433, ""pile_x"": -0.07528613873008953, ""pile_y"": -0.015255384666111513, ""theta"": -3.3062933166578694, ""dig_cross_sigma"": 0.03778632226716191, ""dig_length_sigma"": 0.07523740890908055, ""pile_sigma_x"": 0.04106139899235683, ""pile_sigma_y"": 0.0414397799349663, ""dig_gain"": 0.6802314746378118, ""deposit_gain"": 0.9004143011658179, ""reservoir_gain"": 0.9844711568763683}"
0,5,3.513385772705078,3.3542122840881348,3.3542122840881348,1.0,1.770324047356553e-07,2.307192342227542e-05,1.7703241894651e-07,"{""dig_x"": 0.10121905437827314, ""dig_y"": 0.017825699988678514, ""pile_x"": 0.013772037164246253, ""pile_y"": 0.03953187163219765, ""theta"": -3.013137667773457, ""dig_cross_sigma"": 0.024812267637739138, ""dig_length_sigma"": 0.02, ""pile_sigma_x"": 0.06407787928339265, ""pile_sigma_y"": 0.0506981948299081, ""dig_gain"": 0.6912972142010191, ""deposit_gain"": 0.8326805422212504, ""reservoir_gain"": 0.9171594178515284}"
0,6,3.2593843936920166,3.0966107845306396,3.0966107845306396,1.0,8.208015600530416e-08,9.109497758165166e-06,8.208015600530416e-08,"{""dig_x"": 0.12, ""dig_y"": 0.022706845002013448, ""pile_x"": 0.015219403646558532, ""pile_y"": 0.014056782404454134, ""theta"": -2.9023562513942798, ""dig_cross_sigma"": 0.031711795289191366, ""dig_length_sigma"": 0.027905285324564006, ""pile_sigma_x"": 0.05908836071273992, ""pile_sigma_y"": 0.05782768768331788, ""dig_gain"": 0.5659148800331464, ""deposit_gain"": 0.7960649945732253, ""reservoir_gain"": 0.6364673811570175}"
0,7,2.993903636932373,2.826789379119873,2.826789379119873,1.0,1.652256855777523e-07,9.383119134509549e-06,1.652256855777523e-07,"{""dig_x"": 0.1137912229901571, ""dig_y"": -0.02029660961680437, ""pile_x"": -0.03755528993912399, ""pile_y"": -0.008194547808759188, ""theta"": -3.4503424914368552, ""dig_cross_sigma"": 0.04775207802494603, ""dig_length_sigma"": 0.09352834008929542, ""pile_sigma_x"": 0.04394189887809637, ""pile_sigma_y"": 0.06383420384013053, ""dig_gain"": 0.5250217449787113, ""deposit_gain"": 0.9411780501351077, ""reservoir_gain"": 0.6604625208874723}"
1,0,10.196946144104004,10.11406135559082,10.11406135559082,0.9652777777777778,1.9784232790698297e-05,0.00010579854502084591,1.97842346096877e-05,"{""dig_x"": 0.09571420932150672, ""dig_y"": 0.0017368655780435568, ""pile_x"": -0.03226533256283481, ""pile_y"": -0.028692735319954685, ""theta"": -2.5945229469622557, ""dig_cross_sigma"": 0.028712042165723806, ""dig_length_sigma"": 0.057709592554462105, ""pile_sigma_x"": 0.07740036205362624, ""pile_sigma_y"": 0.046217080680405066, ""dig_gain"": 0.7022228643543048, ""deposit_gain"": 0.7610509421401029, ""reservoir_gain"": 0.6851633726316035}"
1,1,7.5774102210998535,7.45426607131958,7.45426607131958,0.9652777777777778,5.761196916864719e-06,8.423021790804341e-05,5.761196462117368e-06,"{""dig_x"": 0.08100624021462284, ""dig_y"": -0.027157841806491438, ""pile_x"": -0.03348157029504027, ""pile_y"": -0.003157501977289622, ""theta"": -3.2507529252070397, ""dig_cross_sigma"": 0.03681326169905637, ""dig_length_sigma"": 0.06864336101103408, ""pile_sigma_x"": 0.04992043795699018, ""pile_sigma_y"": 0.04920823419691261, ""dig_gain"": 0.5735038149970434, ""deposit_gain"": 0.8119073402804607, ""reservoir_gain"": 1.0}"
